moment,agency,agency predicted,social, social predicted
I discovered that my sister is getting married,1,0,1,1
I woke up and my dog was at my feet.,1,0,0,0
HOLIDAY VACATION WITH MY FRIENDS,0,1,1,1
Our air conditioning broke down and the repair man came to fix it finally.,0,0,1,0
I ate a great; huge dinner that was prepared by my significant other.,1,1,1,0
This morning I saw a cute dog.,1,1,1,0
Finally finding shoes for my daughter that fit her.,1,1,1,0
It made me happy to get a new job near my house.,0,1,0,0
She also picked me up from work.,0,0,1,0
Today morning; my husband promised to take me to see a film; which I was dying to see for sometime.,0,1,1,1
I found out that I there was an entire full season available to stream of a show that I was not caught up on.,0,1,0,0
A hummingbird flew up to the window and looked at me.,0,1,0,0
Being able to partake in an office raffle.,1,1,1,0
I got a gift card to my favorite restaurant for helping my neighbor.,1,0,1,1
My dog kissed my face this morning,0,0,0,1
I was happy when my son asked me to watch a show with him.,0,1,1,1
My daughter told me that I was the best mommy in the world.,1,0,1,1
The part that I ordered to restore my truck came on time and fit perfectly onto the vehicle.,0,1,0,0
Finding my dog; he was missing,0,1,0,0
My boss allowed me to leave work early; while still getting paid for a full day.,1,0,1,1
My boss left work early; so I left early; too.,1,0,1,1
Making chicken tender from scratch with my niece.,1,0,1,1
I heard my unborn child's' heartbeat at the midwifery office.,0,1,0,1
We enjoyed our story time at the library this morning.,1,0,1,1
I enjoyed petting my two cats for about 5 minutes.,1,1,1,0
My daughter asked me to put the Ani DiFranco station on Pandora.,1,0,1,1
I learned today that I have received approval to take out a loan to by a new house; which is awesome.,0,1,0,0
Worked 7 hours online; which is a great feat for me.,1,1,1,0
I watched Teen Mom and laughed at Farrah.,1,1,0,1
I was also told that I was pretty,1,1,1,0
I was happy when my grades were finally posted on my school website.,0,1,0,0
Managed to finish an extensive 5 page paper and a 2 page paper in the span of a few hours.,1,1,1,0
I thought about the fact that my son is graduating Kindergarten this week.,1,0,1,1
I liked eating the pasta my mom made.,1,1,1,0
I scheduled a Father's Day trip to see the Chicago cubs play in Pittsburgh for Father's Day.,1,1,0,1
I received a a discount code in my email that will save we some money on a future online purchase.,0,1,0,0
My friend and their family came to stay with me on vacation.,1,0,1,1
We spent the day on a little beach relaxing on a hammock and drinking; it was so much fun.,1,1,1,0
My cat Bast was so happy to see me (and the fact I feed her) when I got home; she came up to me and begged to be picked up and petted.,1,0,0,0
I started to update the titles to online listings I made.,1,1,1,0
Someone went out of their way to hold the door open for me at the library.,0,1,1,0
Yesterday; after waiting for over 6 months; my amazon mturk account was finally approved; and now I have the opportunity to start working on mturk tasks in my spare time.,0,1,0,0
My cat came cuddling to me last evening when I reached home and just sat in my lap for hours,0,1,0,0
I am happy that I am finally earning a little more than what I was earning a few days ago.,0,1,0,0
I'm happy that my college contacted me about a reunion.,0,0,1,0
I found out that my company will be paying for my passport as I am traveling to Europe for work.,1,1,1,0
Throwing an end of the year party today for my students made me happy.,1,1,1,0
My gentle yoga class; was very nice; relaxing; I didn't look at the clock and wonder how much longer it would be.,1,0,0,0
Hubby had to take my monster mother in law to the doctor and I had TWO WHOLE HOURS without having to put up with her; hallelujah.,0,1,1,1
I was happy that my favorite basketball team won a playoff game,0,1,1,1
When I ran into a coworker who I hadn't seen in awhile and am fond of.,0,1,1,1
the maid came and cleaned the house and got rid of the cockroach in the bathtub.,0,1,1,0
I didn't go to work today.,1,0,0,0
I was commended by my boss for being a very successful salesperson last evening.,1,0,1,1
Fixed a phone of my brothers,1,1,1,0
I was very happy when I enjoyed a Chipotle dinner outside with my husband on a nice sunny day.,1,1,0,1
I drank new artisan beers last night while hanging out with some friends,1,1,1,0
My father came back from a business flight and I hadn't seen him for 2 days.,1,0,1,1
This day marked one of the biggest honorable achievements of my life;because of i am top ranker of my college.,0,1,0,0
My lower back pain went away after I used one of those stick-on pain patches.,1,0,0,0
I took my cat to the vet for his annual check up and he was pronounced fit and healthy with no problems.,1,1,1,0
I was publicly thanked at church last night.,1,0,1,1
The process for my team change in the job got initiated.,0,0,1,0
Taught English to Chinese students.,1,1,1,0
Reading a new book with my husband while relaxing.,1,1,1,0
This morning; a co-worker from my last role in Pennsylvania surprised me by showing up at my building in Florida & brought muffins and donuts with him.,0,1,1,1
YESTERDAY MY FATHER'S BIRTHDAY CELEBRATION I REALLY ENJOYED,1,0,1,1
I had a new stereo sound system installed in my car.,1,1,1,0
It made me happy to see my son having a good time with friends at a school event.,0,1,1,1
Two of my best friends drove up from Portland; to celebrate my birthday and stay night.,0,1,1,1
It's been raining here for several days; but today was clear and I was able to go for a long bicycle ride to the Battery.,1,0,0,0
I got an email from our nephew telling us he and his wife are expecting a child.,0,1,1,1
TIME SPENT MY FAMILY,0,1,1,1
I participated in a physical therapy session.,1,1,1,0
People liked my photo.,1,0,1,1
A friend of mine stopped to visit for a while after work today.,1,0,1,1
My supervisor told me I would have a large project to do at work today but it ended up not taking long at all so I was happy about that.,0,1,1,1
A friend of mine whom i had a crush from a very long time; offered me for a movie.,1,0,1,1
The weather was super nice earlier today; nice and sunny instead of cold and cloudy/rainy,0,1,0,0
My kids cleaned my house before I got home from work and cooked dinner.,0,1,1,1
I was happy when my girlfriend was actually still awake when I got home from work.,0,1,1,1
the happy event was my sister took my baby she is 3 and i have not had a break from her since dec so when my sister called and asked to take her for the night i got so excited and happy.,0,1,1,1
One event that made me happy in the past 24 hours was being able to discover a new song that I really enjoy.,1,0,0,0
I received a nice bonus and raise for the new fiscal year.,0,1,0,0
My date from last weekend text me,0,1,1,0
I was hungry; and was surprised with breakfast.,0,1,1,0
Daughter crushed swimming lessons,1,0,1,1
I bought a website for my partner.,1,1,1,0
I played with a dog in the park.,1,1,1,0
The wind blowing my hair while I stuck my head out of the car's window.,1,0,0,0
I made plans to visit my parents this weekend for the first time since moving 1 month ago.,1,1,1,0
I was promoted at my job over the CPA certification,0,1,0,0
I slept throughout the night hugging the man that makes my heart beats fast and giving me laughs.I woke up this morning and I was happy,1,1,1,0
My brother-in-law came to visit and we played golf and got drunk.,1,0,1,1
second one is when I make a deal with amazon prime I get a combo of motherboard and cpu for my pc at through away price since last several months I want to upgrade my work pc which is very old now as per the configurations of today's standard and when I got my desired thing and so cheap this make me very very happy.,0,1,0,0
MY HAPPIEST MOMENT IS EVERYDAY MY MOM SAY BYE TO ME WHEN I GET READY TO GO SOMEWHERE.,0,1,1,1
India beat Bangladesh in Champions Trophy cricket semifinal; which made me happy a lot.,0,1,0,0
One event that made me feel happy last night was when my brother came to visit me from NY and we went to the beach,1,0,1,1
